iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
22,7.323729038238525,-27.69383547923014,9.401975108595932,-6.690127099738838,-50.2845081901939,0.0,0.20714837857997925,0.01,0.003999471664428711,0.09669089317321777,0.0053162044,0.04801322,-30.08916571463654,-0.1224433557428722,-0.2770682636005316,0.0,3380,0.45435380935668945,0.04670186004498628,0.04569475114331524,77740,-21.30925261408349,0.0
23,7.224200010299683,-27.571692380905255,9.739247338545193,-6.2214988897663535,-46.07327063969054,0.0,0.18148472143498923,0.01,0.005000591278076172,0.09704756736755371,0.005305305,0.052606292,-29.83741838126341,-0.12118932007551017,-0.2758501263054413,0.0,3380,0.439408540725708,0.05446911839513808,0.05279041656355497,81120,-21.44291170237062,0.0
24,7.2381205558776855,-27.174408424615077,10.115239112594692,-6.504539480640611,-48.13977731926178,0.0,0.2246982270619036,0.01,0.005000591278076172,0.08554220199584961,0.005284077,0.043130852,-29.571117385598576,-0.120384127809714,-0.27191961862209313,0.0,3380,0.42327117919921875,0.05259550204147639,0.05109823767284299,84500,-21.43596828254642,0.0
25,7.530886173248291,-26.749235169144708,9.73263172948724,-6.337056085614096,-44.80484435235103,0.0,0.23042056336511504,0.01,0.004670381546020508,0.09551143646240234,0.0053055696,0.04221175,-29.288929163953192,-0.1178656868824186,-0.26762304831827877,0.0,3380,0.4057891368865967,0.04169878397669467,0.04046251175111961,87880,-21.44615715778546,0.0
26,7.2273736000061035,-27.166143569312936,9.535743457938121,-7.07885642504363,-42.38703181907029,0.0,0.19082935650315608,0.01,0.0060045719146728516,0.09480977058410645,0.005250715,0.05026136,-29.076650604489167,-0.11927736920875036,-0.2718392550306095,0.0,3380,0.4322316646575928,0.04681264894382764,0.04560447563138054,91260,-21.40622261081348,0.0
27,7.313506364822388,-26.053558251418245,10.399945436426801,-6.967197262403578,-43.927018971262854,0.0,0.21389319010950533,0.01,0.0040094852447509766,0.0936582088470459,0.0052499655,0.0431904,-28.774341369182075,-0.11496411701204132,-0.260714457979627,0.0,3380,0.4435858726501465,0.052444141971361866,0.04884941197880304,94640,-21.450945390146394,0.0
28,7.2158753871917725,-26.72840617923598,9.744313964221925,-7.25598204259694,-43.415532836316515,0.0,0.22961665046707785,0.01,0.004000186920166016,0.10415077209472656,0.005217217,0.042431843,-28.569747850187465,-0.11738055144860955,-0.2674114746609373,0.0,3380,0.4258255958557129,0.04376450407895398,0.042803022821122166,98020,-21.451816943581218,0.0
29,7.246739387512207,-26.108793434304452,10.270803316365617,-6.7207707545448,-44.566987152038706,0.0,0.2548973896626978,0.01,0.00500035285949707,0.09063291549682617,0.00521777,0.036464307,-28.323652408599166,-0.11538669217019398,-0.26120464361342305,0.0,3380,0.39473557472229004,0.04494046988362454,0.04371936762363253,101400,-21.432372063263557,0.0
30,7.174755096435547,-25.657089346169126,10.431640340039914,-7.165270818512349,-43.81177574174348,0.0,0.2409044184276829,0.01,0.005003690719604492,0.10423159599304199,0.00521216,0.039122615,-28.056996102356166,-0.11334274997594769,-0.2567035674781605,0.0,3380,0.426067590713501,0.04285526827981925,0.04108742638472026,104780,-21.308101305255683,0.0
31,7.866626024246216,-25.322452179595498,10.174824222507473,-7.105464851323133,-42.097596264167194,0.0,0.29194830541213634,0.01,0.004999876022338867,0.10015487670898438,0.0051609427,0.032360077,-27.783541710080097,-0.11173113610819511,-0.2534066639926925,0.0,3380,0.4689292907714844,0.04074412093695134,0.04031610493312662,108160,-21.3163275778107,0.0
