iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
35,1.60054612159729,-4.904247726194896,0.20069193552056616,-4.6034742500791355,-5.511712110516486,0.0,0.23427755541690798,0.1,0.0030012130737304688,0.048247337341308594,0.05077834,0.43855536,-5.135245321417766,-0.16327473635269643,-0.049115917408393016,0.0,400,0.1673898696899414,0.005215016984840752,0.004137702770733444,14400,-4.468970317455609,0.0
36,1.571850299835205,-4.921385559995966,0.15638418740910195,-4.628373799619737,-5.228249522316142,0.0,0.23165245069278392,0.1,0.0014996528625488281,0.04840373992919922,0.0502391,0.5144621,-5.113859345275586,-0.16282023270127488,-0.049276777949375364,0.0,400,0.15640878677368164,0.005335122115589588,0.0036908834826931266,14800,-4.467866513811802,0.0
37,1.5625994205474854,-4.87865470060849,0.15728359203882436,-4.633863306647649,-5.237095630500951,0.0,0.22611546595400228,0.1,0.0030002593994140625,0.056127071380615234,0.049617205,0.53280616,-5.0903388808088765,-0.16116484934993466,-0.048857421749979334,0.0,400,0.18566036224365234,0.0045794303141215124,0.0033114528261095288,15200,-4.4381932727882845,0.0
38,1.6250457763671875,-4.909456559210645,0.2127792037050024,-4.632498959207457,-5.628261914535344,0.0,0.22792078876730562,0.1,0.002576589584350586,0.05083441734313965,0.049615484,0.42577854,-5.072250648649053,-0.16284740642814127,-0.04913286113793239,0.0,400,0.16172266006469727,0.007471257028885582,0.00484569054720275,15600,-4.406532974262033,0.0
39,1.6253652572631836,-4.788164676626099,0.17796591604871143,-4.520049649939115,-5.204831801470561,0.0,0.22347954405795184,0.1,0.002509593963623047,0.047907352447509766,0.050048847,0.46875438,-5.043842051446758,-0.15848475607616386,-0.047951107007369834,0.0,400,0.15270352363586426,0.006813015689254879,0.0040128741855364755,16000,-4.407470258300881,0.0
40,1.6416552066802979,-4.827629988332834,0.1347831405197763,-4.58883958411798,-5.10189706131057,0.0,0.22195063722907446,0.1,0.003000020980834961,0.0523989200592041,0.05007848,0.51102656,-5.022220845135366,-0.15832175371230586,-0.0483335445277175,0.0,400,0.16791892051696777,0.005454712876665745,0.0033234602303329613,16400,-4.3904377070998155,0.0
41,1.5889933109283447,-4.7692077660138565,0.1967496425227597,-4.527420266388671,-5.471765747082486,0.0,0.24287879163529988,0.1,0.0022509098052978516,0.05011343955993652,0.05035669,0.4012654,-4.996919537223215,-0.15718037988158695,-0.04775300167481073,0.0,400,0.17610692977905273,0.007840311090152862,0.005429925049010162,16800,-4.375532583334817,0.0
42,1.651611566543579,-4.804545725722252,0.15640666589463975,-4.54854604364145,-5.267660578270103,0.0,0.23483848217017309,0.1,0.0037865638732910156,0.0456395149230957,0.050098214,0.49805346,-4.9776821560731195,-0.15731125058515422,-0.04811384647928568,0.0,400,0.1546461582183838,0.005333596530690544,0.00395505182325578,17200,-4.401803064893606,0.0
43,1.5898478031158447,-4.79221898715371,0.12308566780420403,-4.5498188369927295,-5.026936253540829,0.0,0.22682114393927655,0.1,0.004279613494873047,0.05291891098022461,0.050583635,0.51254404,-4.959135839181179,-0.15633533491945206,-0.04799773139026878,0.0,400,0.1529862880706787,0.005843007187273998,0.004512299733700029,17600,-4.385069298399925,0.0
44,1.598245620727539,-4.746010230303854,0.16533144498451796,-4.480618979598366,-5.148913651707842,0.0,0.23216469115167057,0.1,0.003006458282470703,0.050957679748535156,0.050263286,0.51826173,-4.937823278293446,-0.15690278535099667,-0.04753095352334192,0.0,400,0.15044498443603516,0.005025312708054448,0.0035538089672285727,18000,-4.397765698961922,0.0
45,1.6219217777252197,-4.736981869061293,0.13343717060040192,-4.399905085067266,-5.023378799610741,0.0,0.23907368588169295,0.1,0.0029990673065185547,0.05388045310974121,0.050251827,0.52025664,-4.917739137370231,-0.15384182991347525,-0.04744258376296668,0.0,400,0.16240334510803223,0.004497052692666921,0.0028819691807383994,18400,-4.399473172918844,0.0
46,1.7048704624176025,-4.720314541832867,0.14993243138189674,-4.48710661443471,-5.009220528764111,0.0,0.23545185814350036,0.1,0.005266904830932617,0.10832810401916504,0.050032865,0.50465846,-4.8979966778164945,-0.15395249392559068,-0.04727373986140603,0.0,400,0.34551143646240234,0.004673255508116636,0.002703938614911347,18800,-4.413328000466281,0.0
47,1.6002366542816162,-4.73166815118954,0.14725383948992218,-4.498140576223336,-5.160281014966918,0.0,0.2361819972733021,0.1,0.010017156600952148,0.049987077713012695,0.050499093,0.41079032,-4.881363825153799,-0.15239856342890526,-0.047390949687280436,0.0,400,0.15793609619140625,0.005408419257782759,0.003919267724765127,19200,-4.398659090631119,0.0
48,1.5658433437347412,-4.765760631901191,0.17306051347510037,-4.48139890633015,-5.1132751709655615,0.0,0.22637120404613728,0.1,0.0022499561309814453,0.055249691009521484,0.050249916,0.46614853,-4.869803505828538,-0.15653506765959851,-0.04772472347144075,0.0,400,0.15651798248291016,0.004580133563110297,0.0032291180101075966,19600,-4.3511245615198515,0.0
49,1.5830645561218262,-4.672996684394766,0.11146390860377146,-4.475831840841818,-4.959304175231033,0.0,0.24589011423003249,0.1,0.0030014514923095703,0.056611061096191406,0.04989563,0.48466098,-4.850122823685162,-0.1532248218806821,-0.04676827846876849,0.0,400,0.14603638648986816,0.004559914427226812,0.0029356361842087773,20000,-4.346137387810115,0.0
50,1.5746424198150635,-4.687694596349021,0.12018487515196302,-4.486379048604394,-4.971946892017181,0.0,0.23274543413168938,0.1,0.0030069351196289062,0.0498349666595459,0.050436158,0.48060143,-4.833880000951547,-0.1537338206708849,-0.0469312960745031,0.0,400,0.15317559242248535,0.004895208039845848,0.0030238159394114458,20400,-4.342069230661478,0.0
51,1.6321675777435303,-4.6534872089754025,0.11159284078298874,-4.462630210719785,-4.893087820268439,0.0,0.24378845754114448,0.1,0.0037598609924316406,0.051615238189697266,0.05022059,0.4177836,-4.815840721753933,-0.15389429404116794,-0.04661405691973299,0.0,400,0.21383333206176758,0.00549316612305746,0.0032261164303647263,20800,-4.292719638379095,0.0
52,1.580669641494751,-4.689851312760578,0.1424536546185083,-4.462352074122167,-4.918777864143139,0.0,0.23918491426546942,0.1,0.002262115478515625,0.05083870887756348,0.050343636,0.44952497,-4.803241780854597,-0.15437262036789262,-0.0469521131882836,0.0,400,0.17536282539367676,0.0035257036349075916,0.0022544915359318015,21200,-4.2867167997638065,0.0
