iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
21,6.112604856491089,-38.07519333964893,10.75036385702822,0.8678434581690371,-56.58732855003286,0.0,0.14377500470415133,0.01,0.004999637603759766,0.1080925464630127,0.005072982,0.07638183,-41.755797725928716,-0.15631657391193993,-0.38088671356328074,0.0,2511,0.4424111843109131,0.05411150162823912,0.05155814206110667,55715,-25.541677380348155,0.0
22,6.690035104751587,-37.199039495124794,10.753596208487492,0.5585922561271064,-54.74699417634485,0.0,0.1445231546973905,0.01,0.0050013065338134766,0.10212469100952148,0.0050473236,0.07309116,-41.300121902848325,-0.15355356253120458,-0.3721925623350814,0.0,2513,0.4092409610748291,0.056708393924886746,0.05478693626736709,58228,-25.462104099460262,0.0
23,6.076621770858765,-37.37893463759846,9.75970589864014,-0.7661190590946059,-56.856939260089476,0.0,0.14401113560551615,0.01,0.004999399185180664,0.09851312637329102,0.005088971,0.07445706,-40.90800317632334,-0.15095575140250928,-0.37399725376781073,0.0,2531,0.362562894821167,0.051370426755278635,0.04944324862101007,60759,-25.322946915936,0.0
24,5.7985618114471436,-36.05134452564762,10.780583754907848,0.5429643248076177,-57.13031425506996,0.0,0.14634207803967808,0.01,0.004999399185180664,0.09251737594604492,0.005120057,0.07407912,-40.42233731125577,-0.14613960155944256,-0.3606761148660469,0.0,2496,0.36708855628967285,0.06239500976875455,0.05976481237134076,63255,-24.81589137362686,0.0
25,5.809998273849487,-35.68695980313721,10.767322902316442,0.5611353566569524,-55.75515862186574,0.0,0.14892844075064213,0.01,0.004001140594482422,0.09190678596496582,0.0050228843,0.07222968,-39.94879956044391,-0.14610888996362473,-0.35701998766564014,0.0,2495,0.36106085777282715,0.057935745143445586,0.05625987850285302,65750,-24.85673180246279,0.0
26,6.387011528015137,-36.501497545043684,9.893841819299142,0.84993282715971,-60.78579695340436,0.0,0.14421020883331187,0.01,0.004999637603759766,0.09151721000671387,0.0050459816,0.072532445,-39.604069358903885,-0.1486353405966841,-0.365216842185046,0.0,2533,0.3967275619506836,0.055193380642931875,0.05317925308897268,68283,-24.813874678745314,0.0
27,6.013092756271362,-35.33169699697106,10.310748542363365,0.5041128728850982,-58.54340137740952,0.0,0.14507999582667452,0.01,0.003998994827270508,0.10396790504455566,0.0051502,0.07400111,-39.1768321227106,-0.14360996712639668,-0.3534856221051421,0.0,2502,0.4375803470611572,0.062213495341565374,0.059008307265547566,70785,-24.605535531458106,0.0
28,6.400867700576782,-35.20097453469986,10.212962633965315,-1.389908169013453,-57.37195112355864,0.0,0.1486045414857881,0.01,0.004000425338745117,0.09351563453674316,0.0050130044,0.069494665,-38.77924636390953,-0.14111071362521893,-0.3521775260274226,0.0,2549,0.36226701736450195,0.06154821666835875,0.05872170581769799,73334,-24.632545640687255,0.0
29,5.766566276550293,-35.6071783467865,10.150621870480046,0.5827130483759666,-54.6842703317088,0.0,0.1445655277572224,0.01,0.0050008296966552734,0.09350299835205078,0.0050257915,0.076365925,-38.462039562197226,-0.14395393443681964,-0.3561841830597055,0.0,2511,0.3631598949432373,0.057040490249171384,0.05381019104488448,75845,-24.59989416283538,0.0
30,5.880223989486694,-35.15324922071733,9.90793257628605,0.22866145636669888,-57.436745771102814,0.0,0.1424255035898267,0.01,0.004762411117553711,0.09451508522033691,0.005093786,0.074168466,-38.131160528049236,-0.14121962159326895,-0.3516862008626479,0.0,2548,0.36107802391052246,0.05763822508231818,0.05506035762714127,78393,-24.418073192263627,0.0
